'Oumuamua	奥陌陌
recoil particle	反冲粒子
recombination	复合
recombination coefficient	复合系数
recombination continuum	复合连续区
recombination epoch	复合期
recombination era	复合时期
recombination line	复合线
recombination line emission	复合线发射
recombination radiation	复合辐射
recombination spectrum	复合谱
recombination time	复合时间
reconnaissance satellite	侦察卫星
reconnection	重连
reconstruction of density field	密度场重构
record time	记录时刻
recorder	记录仪
recording Doppler comparator	多普勒自记比较仪
recording equipment	记录设备
recording instrument	记录仪器
recording micrometer	自记测微计
recording microphotometer	自记测微光度计
recovery package	回收装置
rectangular aperture	矩形孔径
rectangular coordinate	直角坐标
rectangular horn	矩形喇叭
rectangular source	矩形源
rectascension	赤经
rectifiable model	可矫正模型
rectification	矫频
rectilinear jet	直线喷流
rectilinear solution	直线解
recurrence formula	递推公式
recurrence frequency	重复频率
recurrence theorem	回归定理
recurrent burst	复现暴
recurrent disturbance	复现扰动
recurrent eruption	复现爆发
recurrent explosion	复现爆发
recurrent flare	再现耀斑
recurrent formula	递推公式
recurrent nova	再发新星
recurrent outburst	复现爆发
recursion formula	递归公式
recursive filter	循环滤波器
recycled pulsar	再生脉冲星
red branch	红支
red clump	红团簇星
red coronal line	日冕红线
red dot finder	红点寻星镜
red dwarf	红矮星
red dwarf flare star	红矮耀星
red dwarf star	红矮星
red giant	红巨星
red giant branch	缩写：RGB。红巨星支
red giant star	红巨星
red giant tip	红巨星支上端
red giant up	红巨星支上端
red horizontal-branch	缩写：RHB。红水平支
red magnitude	红星等
red nebulous object	缩写：RNO。红色云状体
red straggler	红离散星
red supergiant	红超巨星
red supergiant stars	红超巨星
red variable	红变星
red white dwarf	红白矮星
red-sensitive plate	红敏底片
reddened galaxy	红化星系
reddened object	红化天体
reddened quasar	红化类星体
reddened star	红化星
reddening	红化
reddening correction	红化改正
reddening law	红化定律
reddening line	红化线
reddening ratio	红化比
redshift	红移
redshift controversy	红移论争
redshift correction	红移改正
redshift cutoff	红移截断
redshift distortion	红移畸变
redshift effect	红移效应
redshift evolution	红移演化
redshift parameter	红移参数
redshift space	红移空间
redshift space distortion	缩写：RSD。红移空间畸变
redshift survey	红移巡天
redshift-angular diameter relation	红移-角径关系
redshift-apparent magnitude diagram	红移-视星等图
redshift-distance relation	红移-距离关系
redshift-magnitude relation	红移-星等关系
reduced latitude	归化纬度; 归心纬度
reduced mass	折合质量
reduced particle	约化粒子
reduced potential	约化势
reduced proper motion	归化自行
reduced radiation	减弱辐射
reduced surface density	约化面密度
reduced width	约化宽度
reduction factor	归算因子
reduction method	归算法
reduction parameter	归算参数
reduction principle	约化原理
reduction to sea-level	海平面订正
reduction to the equator	赤道订正
reduction to the meridian	子午订正
reduction to the sun	太阳订正
reentry module	返回舱; 再入舱
reentry trajectory	再入轨道
reentry velocity	再入速度
reference circle	基本圈
reference ellipsoid	参考椭球
reference frame	参考架; 参考系
reference great circle	参考大圆
reference orbit	参考轨道
reference source	参考源
reference star	参考星
reference system	参考系
reference time scale	参考时标
reflectance	反射
reflectance spectrum	反射光谱
reflecting Schmidt telescope	反射式施密特望远镜
reflecting power	反射本领
reflecting telescope	反射望远镜
reflection	反射
reflection amplifier	反射放大器
reflection angle	反射角
reflection at critical angle	临界角反射
reflection coefficient	反射系数
reflection effect	反射效应
reflection filament	反射暗条
reflection grating	反射光栅
reflection nebula	反射星云
reflection spectrum	反射光谱
reflection variable	反射变星
reflection-type maser	反射型微波激射器
reflective power	反射本领
reflectivity	反射率
reflector	1、反射望远镜; 2、反射镜
reflector-antenna	反射天线
reflector-corrector	折反射望远镜
reflex feed system	反射式馈源系统
reflex motion	反应运动
reflexion	反射
refracting angle	折射角
refracting telescope	折射望远镜
refraction	折射
refraction anomaly	折射反常
refraction coefficient	折射系数
refraction constant	折射常数
refraction correction	折射改正
refraction halo	折射晕
refraction law	折射定律
refraction table	折射表
refractive index	折射率
refractive power	折射本领
refractivity	折射率
refractor	折射望远镜
refractory	耐熔质
refringence	折射率
regeneration time	再生时标
region of corotation	公转区
regmaglypt	气印
regolith	浮土
regression	退行
regression analysis	回归分析
regression coefficient	回归系数
regression curve	回归曲线
regression equation	回归方程
regression line	回归线
regression of galaxy	星系退行
regression of nodes	交点退行
regression of the node	交点退行
regression period	回归周期
regression velocity	退行速度
regular cluster	规则星团
regular cluster of galaxies	规则星系团
regular galaxy	规则星系
regular nebula	规则星云
regular observation	常规观测
regular orbit	有序轨道; 规则轨道
regular perturbation system	正则摄动系统
regular point	正则点
regular satellite	规则卫星
regular variable	规则变星
regularity	正则性
regularity condition	1、正则条件; 2、正规条件
regularization transformation	正规化变换
regulator	调整器
reheating	再热
reheating from inflation	暴胀再热
reheating redshift	再加热红移
reionization	再电离
reionization era	再电离时期
reionization phase	再电离阶段
reionization redshift	再电离红移
relative abundance	相对丰度
relative acceleration	相对加速度
relative aperture	1、相对口径; 2、相对孔径
relative catalogue	相对星表
relative determination	相对测定
relative energy	相对能量
relative energy distribution	相对能量分布
relative error	相对误差
relative focal length	相对焦距
relative gradient	相对梯度
relative intensity	相对强度
relative ionospheric opacity meter	电离层相对不透明度计
relative luminosity factor	相对光度因子
relative measurement	相对测量
relative motion	相对运动
relative movement	相对运动
relative number	相对数
relative number of spots	黑子相对数
relative number of sunspots	太阳黑子相对数
relative orbit	相对轨道
relative parallax	相对视差
relative photometry	相对测光
relative position	相对位置
relative potential	相对势
relative proper motion	相对自行
relative radial velocity	相对视向速度
relative radio emitting power	相对射电发射功率
relative stability	相对稳定度
relative sunspot number	相对黑子数
relative velocity	相对速度
relativistic Doppler shift	相对论性多普勒位移
relativistic Doppler term	相对论性多普勒项
relativistic Maxwell distribution	相对论性麦克斯韦分布
relativistic astrophysics	相对论天体物理学
relativistic beaming	相对论性射束
relativistic blurring	相对论性模糊
relativistic bremsstrahlung	相对论性韧致辐射
relativistic correction	相对论改正
relativistic cosmology	相对论宇宙学
relativistic deflection of light	相对论性光线偏折
relativistic degeneracy	相对论简并性
relativistic disk	相对论性圆面
relativistic effect	相对论效应
relativistic electron	相对论性电子
relativistic enthalpy	相对论性焓
relativistic expansion	相对论性膨胀
relativistic field equation	相对论场方程
relativistic fluid dynamics	相对论流体动力学
relativistic gas	相对论性气体
relativistic jet	相对论性喷射
relativistic mechanics	相对论力学
relativistic particle	相对论性粒子
relativistic periastron advance	相对论性近星点进动
relativistic periastron precession	相对论性近星点进动
relativistic perihelion advance	相对论性近日点进动
relativistic perihelion precession	相对论性近日点进动
relativistic plasma	相对论性等离子体
relativistic shift	相对论性移动
relativistic star	相对论性星
relativistic velocity	相对论性速度
relativistic zone	相对论性区
relativistically expanding source	相对论性膨胀源
relativity principle	相对性原理
relativity shift	相对论移动
relaxation	弛豫
relaxation effect	弛豫效应
relaxation rate	弛豫速率
relaxation time	弛豫时间
relaxed cluster	弛豫星团
relay optics	中继光学系统
relevant parameter	相关参数
reliability	置信度; 可靠度
relic magnetic field	遗迹磁场
relic of supernova	缩写：SNR。超新星遗迹
relics of the Big Bang	大爆炸遗迹
reluctance	磁阻
reluctivity	磁阻率
remainder function	余函数
remaining star	残留星
remnant of nova	新星遗迹
remnant of supernova	缩写：SNR。超新星遗迹
remote clock	远距钟
remote control	遥控
remote control system	遥控系统
remote equipment	遥控装置
remote operation	遥控运作
remote satellite	远距卫星
remote sensing	遥感
remote star	远距星
remote telescope	遥控望远镜
rendezvous	会合
renormalization	重正化
renormalization group	重正化群
repeatability	重复性
repeated nova	再发新星
repeating nova	再发新星
replenishment rate	补充率
replica of grating	复制光栅
representative point	代表点
reproducibility	复现性; 复制性
repulsive force	斥力
repulsive potential	推斥势
repulsive state	推斥态
reset	清零; 复位
residual aberration	残余像差
residual calculation	残差计算
residual delay	剩余延迟
residual error	残差
residual fringe frequency	剩余条纹频率
residual fringe phase	剩余条纹相位
residual gauge mode	残留规范模
residual intensity	剩余强度
residual radial velocity	剩余视向速度
residual strong nuclear force	残余强核力
residual velocity	剩余速度
resisting medium	阻尼介质
resistive instability	电阻不稳定性
resistivity	电阻率
resolution	分辨率
resolution box	分辨率框
resolution circle	分辨率圆
resolution ellipse	分辨率椭圆
resolution filter	分辨滤波器
resolution limit	分辨极限
resolution of velocity	速度分解
resolution-limited observation	限定分辨率观测
resolvable source	可分辨源
resolving power	分辨本领
resolving time	分辨时间
resonance	共振
resonance absorption	共振吸收
resonance capture	共振俘获
resonance condition	共振条件
resonance coupling	共振耦合
resonance cross-section	共振截面
resonance domain	共振域
resonance gap	共振空区
resonance line	共振谱线
resonance orbit	共振轨道
resonance overlap theory	共振重叠理论
resonance radiation	共振辐射
resonance satellite	共振卫星
resonance spectrum	共振谱
resonance state	共振态
resonance transition	共振跃迁
resonant absorption	共振吸收
resonant cavity	共振腔
resonant frequency	共振频率
resonant gravitational wave detector	共振型引力波探测器
resonant mode	共振模
resonant orbit	共振轨道
resonant particle	共振粒子
resonant reaction	共振反应
resonant scattering spectrometer	共振散射光谱仪
resonant structure	共振结构
resonator	共振器
response curve	响应曲线
response time	响应时间
responsive plane	响应平面
responsiveness	响应性
responsivity	响应度
rest energy	静能
rest frame	静止参考架
rest mass	静质量
restoration technique	复原技术
restored image	复原图像
restored map	复原图
restricted cosmological principle	限制性宇宙学原理
restricted problem	限制性问题
restricted problem of three bodies	限制性三体问题
restricted theory	限制性理论
restricted three-body problem	限制性三体问题
resultant velocity	合速度
retardation	减速
retarded Green function	推迟格林函数
retarded baseline	推迟基线
retarded motion	减速运动
retarded offset	推迟偏置
retarded potential	推迟势
reticle	十字丝
reticule	十字丝
retractable enclosure	伸缩式围罩
retro-rocket	制动火箭
retrograde merger	逆行并合
retrograde motion	逆行
retrograde orbit	逆行轨道
retrograde stationary	逆留
retrogression	逆行
retroreflector	后向反射器
return wave	回波; 反向波
return-beam tube	回束摄像管
reverberation mapping	反响映射
reversal	反变; 自食
reversal of polarity	极性反转
reverse azimuth	反方位角
reverse shock	反向激波
reverse sign	反号
reversibility	可逆性
reversible film	反转软片
reversible level	回转水准
reversible mounting	回转装置
reversible pendulum	可倒摆
reversible process	可逆过程
reversible transit circle	回转子午环
reversing layer	反变层
reversing prism	倒像棱镜
revival group	重现群
revival sunspot	1、重现太阳黑子; 2、重现黑子
revival sunspot group	重现黑子群
revolution	公转; 绕转
revolution of micrometer screw	测微计螺旋周值
rhenium	缩写：Re。铼
rheonomic constraint	不稳定约束
rheostat	变阻器
rhodium	缩写：Rh。铑
rhombic antenna	菱形天线
rhumb line	恒向线
rhythmic time signal	科学式时号
rice grain	米粒组织
rice-grain effect	米粒效应
rich cluster	1、富星团; 2、富星系团
rich cluster of galaxies	富星系团
rich cluster of stars	富星团
rich galaxy cluster	富星系团
rich star cluster	富星团
rich-field adapter	广角转接器
richest-field telescope	缩写：RFT。特广视场望远镜
richness class	富度级
richness index	富度指数
richness parameter	富度参数
ridge	山脊
ridge horn	脊形喇叭
ridge square horn	皱纹方形喇叭
right angle prism	直角棱镜
right ascension	缩写：R.A.; RA。赤经
right ascension circle	赤经度盘
right ascension setting circle	赤经度盘
right sphere	正交天球
right-hand circular polarization	右旋圆偏振
right-hand rule	右手定则
right-handed coordinate system	右手坐标系
right-handed polarization	右旋偏振
right-handed reference frame	右手参考架
rigid body rotation	刚体自转
rigid crust	刚性壳
rigid earth	刚性地球
rigid halo	刚体晕
rigidity	刚性
rill	沟纹; 溪
rille	沟纹; 溪
rille crater	沟纹环形山
rima	沟纹; 溪
ring antenna	环状天线
ring aperture	环状孔径
ring arc	环弧
ring array	环状天线阵
ring current	环电流
ring division	环缝
ring galaxy	环状星系
ring imaging Cherenkov detector	缩写：RICH detector。环形成像切伦科夫探测器
ring micrometer	环状测微计
ring mountain	环形山
ring nebula	环状星云
ring of Jupiter	木星环
ring of Neptune	海王星环
ring of Saturn	土星环
ring of Uranus	天王星环
ring plain	环形平原
ring radio telescope	带形射电望远镜
ring system	光环系统
ring transformation	环变换
ring-moon	行星环卫星
ring-plane crossing	环面穿越
ringdown	铃宕
ringed barred galaxy	有环棒旋星系
ringed barred spiral galaxy	有环棒旋星系
ringed planet	有环行星
riometer	电离层相对不透明度计
rise phase	上升阶段
rise time	上升时间
rising limit	出限
rising point	上升点
rising prominence	上升日珥
rizalite	玻璃陨石
rms	全称：root mean square。均方根
rms deviation	全称：root mean square deviation。均方差
rms value	全称：root mean square value。均方根值
rms velocity	全称：root mean square velocity。均方根速度
rmse	全称：mean error; root mean square error。中误差
robotic observatory	程控天文台
robotic telescope	程控望远镜
robust estimation	稳健估计
rock magnetism	岩石磁性
rocket X-ray astronomy	火箭X射线天文学
rocket astronomy	火箭天文学
rocket infrared astronomy	火箭红外天文学
rocket mechanism	火箭机制
rocket train	多级火箭
rocket ultraviolet astronomy	火箭紫外天文学
rocket γ-ray astronomy	火箭γ射线天文学
rocket-borne instrument	箭载仪器
rocket-borne telescope	箭载望远镜
rocking mirror	摆动反光镜
rocking telescope	摆动望远镜
rockoon	气球发射高空探测火箭
rocky core	岩核
rocky dwarf	岩质矮行星
rocky planet	岩质行星
rolling hangar	机库
roof prism	屋脊棱镜
root mean square	缩写：rms。均方根
root mean square deviation	缩写：rms deviation。均方差
root mean square error	缩写：rmse。中误差
root mean square value	缩写：rms value。均方根值
root mean square velocity	缩写：rms velocity。均方根速度
root of unit	单位根
rosette	玫瑰花结
rosette method	系列法
rotating axis	自转轴
rotating body	旋转体
rotating chopper	旋转斩波器
rotating disk	旋转圆面; 旋转盘
rotating magnetic dipole	旋转磁偶极子
rotating object	旋转天体
rotating polarizer	旋转起偏器
rotating radio transient	缩写：RRAT。自转型暂现射电源
rotating sector	旋转遮光板
rotating shell	旋转气壳
rotating shutter	旋转快门
rotating star	自转星
rotating variable	自转变星
rotating wave-plate	旋转波片
rotating-lobe interferometer	旋转瓣干涉仪
rotation	自转
rotation axis	自转轴
rotation center	旋转中心
rotation curve	自转曲线
rotation effect	自转效应
rotation frequency	自转频率
rotation inertia	转动惯量
rotation measure	缩写：RM。旋转量
rotation number	旋转数
rotation of binary	双星绕转
rotation of ecliptic	黄道转动
rotation of galaxy	星系自转
rotation of galaxy cluster	星系团旋转
rotation of the Galaxy	银河系自转
rotation of the earth	地球自转
rotation of the line of apsides	拱线转动
rotation period	自转周期
rotation phase	自转相位
rotation pole	自转极
rotation rate	自转速率
rotation spectrum	转动光谱
rotation synthesis	自转综合孔径
rotation temperature	转动温度
rotation-curve decomposition	旋转曲线分解
rotation-vibration band	转动-振动谱带
rotation-vibration spectrum	转动-振动光谱
rotation-vibration state	转动-振动态
rotational aperture synthesis	自转孔径综合
rotational axis precession	自转轴进动
rotational broadening	自转致宽
rotational constant	转动常数
rotational contour	转致轮廓
rotational energy	转动能
rotational evolution	自转演化
rotational inclination	自转轴倾角
rotational inertia	转动惯量
rotational instability	自转不稳定性
rotational line	转动谱线
rotational modulation	自转调制
rotational modulation collimator	旋转调制准直器
rotational momentum	自转角动量
rotational parallax	自转视差
rotational period	自转周期
rotational phase	自转相位
rotational profile	转致轮廓
rotational state	转动态
rotational structure	转动结构
rotational transition	转动跃迁
rotational variable	自转变星
rotational velocity	自转速度
rotational velocity-space velocity relation	自转速度-空间速度关系
rotational velocity-spectral type relation	自转速度-光谱型关系
rotator	自转天体; 转子
roton	旋子
rounded value	舍入值
rounding error	舍入误差
roundoff	舍入
roundoff error	舍入误差
routine observation	常规观测
row error	行误差
rubber second	负闰秒
rubble pile structure	砾石堆结构
rubidium	缩写：Rb。铷
rubidium clock	铷钟
rubidium gas cell	铷气泡
rubidium maser	铷微波激射器
rubidium-strontium dating	铷-锶纪年
ruby	红宝石
ruled grating	刻划光栅
ruled-surface map	直纹曲面图
run error	行差
runaway coalescence	逃逸结合
runaway electron	逃逸电子
runaway growth	失控式生长
runaway star	速逃星
running mean	移动平均
running penumbral wave	半影行波
rupes	峭壁; 陡岩
ruthenium	缩写：Ru。钌
s-process	全称：slow neutron capture process。慢过程; s过程
s.d.	全称：standard deviation。标准偏差
s.e.	全称：standard error。标准误差
sCDM model	全称：standard Cold Dark Matter model。标准冷暗物质模型
sSFR	全称：specific star-formation rate。比恒星形成率
saddle point	鞍点
safety screw	安全螺旋
sagittal	弧矢
sagittal plane	矢面
sailing star	蓬星
samarium	缩写：Sm。钐
sample averaging	取样平均
sample size	样本量
sample time	取样时间
sampler	取样器; 采样器
sampling clock	取样钟
sampling frequency	取样频率
sampling rate	取样率; 采样率
sampling theorem	取样定理
sampling up-the-ramp	斜升采样
sand clock	沙漏
sand dune	沙丘
sand glass	沙漏
sand-bank model	沙堆模型
sandy clock	沙漏
satellite	卫星
satellite Doppler navigation system	人卫多普勒导航系统
satellite Doppler tracking	卫星多普勒测量
satellite altimetry	卫星测高
satellite antenna	人卫天线
satellite astronomy	卫星天文学
satellite borne instrument	人卫运载仪器
satellite camera	人卫照相机
satellite camera with quadraxial mounting	四轴式人卫照相机
satellite camera with quadraxial tracking frame	四轴式人卫跟踪照相机
satellite coronagraphy	人卫日冕照相术
satellite eclipse	卫星食
satellite galaxy	伴星系
satellite geodesy	卫星大地测量学
satellite laser ranging	缩写：SLR。卫星激光测距
satellite life	人卫寿命
satellite line	伴线
satellite navigation	卫星导航
satellite nebula	伴星云
satellite of Jupiter	木卫
satellite of Mars	火卫
satellite of Neptune	海卫
satellite of Pluto	冥卫
satellite of Saturn	土卫
satellite of Uranus	天卫
satellite ranging	人卫测距
satellite sunspot	卫星黑子
satellite system	卫星系
satellite tracking	人卫跟踪
satellite tracking camera	人卫跟踪照相机
satellite trail	卫星痕迹
satellite transit	卫星凌行星
satellite triangulation	卫星三角测量
satellite-borne telescope	星载望远镜
satellite-sensed event	卫星可测事件
satellite-to-satellite tracking	缩写：SST。人卫-人卫跟踪
satelloid	卫星体
satelloon	球载卫星
saturated absorption	饱和吸收
saturated absorption line	饱和吸收线
saturated line	饱和谱线
saturation effect	饱和效应
saturation factor	饱和因子
saturation function	饱和函数
saturation pump	饱和抽运
saturnicentric coordinate	土心坐标
saturnicentric latitude	土心纬度
saturnicentric longitude	土心经度
saturnicentric ring latitude	土心环纬度
saturnicentric ring longitude	土心环经度
saturnigraphic coordinate	土面坐标
saturnigraphic latitude	土面纬度
saturnigraphic longitude	土面经度
saturnigraphy	土面学
saucer crater	碟形环形山
sausage-type instability	腊肠型不稳定性
scalar CMB anisotropy	标量微波背景各向异性
scalar antenna	标量天线
scalar curvature	标量曲率
scalar curvature of space-time	时空标量曲率
scalar density	标量密度
scalar field	标量场
scalar fluctuation	标量涨落
scalar horn	梯形喇叭
scalar mode	标量模
scalar perturbation	标量扰动
scalar potential	标量势
scalar virial theorem	标量位力定理
scalar-tensor gravity	标量-张量引力
scalar-tensor theory	标量-张量理论
scale division	刻度
scale factor	1、标度因子; 2、比例因子
scale factor of the universe	1、宇宙标度因子; 2、宇宙标度因子
scale height	标高
scale length	标长
scale pair	标度星对
scale value	标度值
scale-free solution	尺度无关解
scale-invariance	标度不变性
scale-invariant perturbation	尺度不变扰动
scale-invariant spectrum	尺度不变功率谱
scaling	定标
scaling factor	定标因子
scaling law	定标定律
scaling of string networks	弦网络标度化
scaling relation	标度关系
scandium	缩写：Sc。钪
scanner	扫描器
scanning great circle	扫描大圆
scanning modulation collimator	扫描调制准直器
scanning spectrometer	扫描分光仪
scaphe	仰仪
scattered disk object	缩写：SDO。SDO型天体; 散盘型天体
scattered light	散射光
scattered radiation	漫辐射; 散射辐射
scattered reflection	漫反射
scattering	散射
scattering angle	散射角
scattering atmosphere	散射大气
scattering by interstellar media	缩写：ISS。星际散射
scattering coefficient	散射系数
scattering cross-section	散射截面
scattering diffusion	散射扩散
scattering effect	散射效应
scattering kernel	散射核
scattering power	散射本领
schematic diagram	示意图
schiefspiegler telescope	席夫施皮格勒望远镜
sciagraphy	星影计时法
sciametry	日月食理论
scintillation	闪烁
scintillation counter	闪烁计数器
scintillation effect	闪烁效应
scintillation spectrum	闪烁谱
scintillation telescope	闪烁望远镜
scintillator neutrino detector	闪烁体式中微子探测器
scintillometer	闪烁计数器
scleronomic constraint	稳定约束
scopulus	杂相陡岩
scotopic curve	适暗曲线
scotopic eye	适暗眼
scotopic luminosity curve	暗光光度曲线
scotopic vision	晨昏视觉
scratch dial	刻线日晷
scratch sundial	刻线日晷
screen brightness	屏亮度
screening effect	屏蔽效应
screw micrometer	螺旋测微器
screw microscope	螺旋测微镜
screw value	螺旋周值
sea interferometer	海岸干涉仪
sea level	海平面
sea-level correction	海平面订正
search for extraterrestrial life	地外生命搜寻
searching ephemeris	寻星历表
seasonal fluctuation	季节性起伏
seasonal phenomenon	季节性现象
seasonal variation	季节性变化
second	秒
second beat	秒拍
second contact	食既; 第二切
second control	秒控制
second cosmic velocity	第二宇宙速度
second difference	二次差
second of arc	缩写：arcsec。角秒
second of time	时秒
second order day number	二阶日数
second order phase transition	二级相变
second order spectrum	二级光谱
second order term	二阶项
second pendulum	秒摆
second quantization	二次量子化
second summation	二次和
second transit	第二次中天
second type surface	副表面
secondary axis	副轴
secondary blockage	副镜遮拦
secondary circle	副圈
secondary clock	子钟
secondary component	次星
secondary cosmic radiation	次级宇宙线
secondary cosmic rays	次级宇宙线
secondary crater	次级陨击坑
secondary distance indicator	次级示距天体
secondary eclipse	次食
secondary electron	次级电子
secondary element	次级元素
secondary emission	次级发射
secondary fluctuation	次起伏
secondary flux of atomspheric γ-rays	大气γ射线次级流量
secondary flux of cosmic rays	宇宙线次级流量
secondary focus	副焦点
secondary image	副像
secondary maximum	次极大
secondary minimum	次极小
secondary mirror	副镜
secondary mirror support tower	副镜支承塔
secondary mirror tripod	副镜三脚架
secondary optical axis	副光轴
secondary particle	次级粒子
secondary pattern	次级方向图
secondary period	副周期
secondary prominence	次生日珥
secondary radiant	次辐射点
secondary reflector	副反射面
secondary resonance	次共振
secondary source	次源
secondary spectrum	二级光谱
secondary standard	二级标准
secondary star	次星
secondary surface	副表面; 辅助面
secondary tail	副彗尾
secondary wave	次波
secondary-mirror modulation	副镜调制
secondary-mirror modulator	副镜调制器
sector	象限仪
sector boundary	扇形边界
sector shutter	扇形快门
sector structure	扇形结构
sectorial harmonics	扇谐函数
secular aberration	长期光行差
secular acceleration	长期加速度
secular equation	长期差
secular evolution	长期演化
secular inequality	长期差
secular instability	长期不稳定性
secular motion	长期运动
secular parallax	长期视差
secular perturbation	长期摄动
secular polar motion	长期极移
secular precession	长期进动
secular resonance	长期共振
secular stability	长期稳定性
secular tendency	长期趋势
secular term	长期项
secular trend	长期趋势
secular variable	长期变星
secular variation	长期变星
sedimentary rock	沉积岩; 水成岩
seed nucleus	籽核
seed-field model	种子场模型
seeing	视宁度
seeing disk	视宁圆面; 视影圆面
seeing disturbance	视宁度扰动
seeing image	视影; 视宁像
seeing management	视宁度控管
seeing monitor	视宁度监测器
seesaw mechanism	跷跷板机制
segmented mirror	拼合镜面
segmented mirror telescope	缩写：SMT。拼合镜面望远镜
segmented optics	拼合镜面光学系统
segregation	分层
seism	地震
seismic belt	地震带
seismic focus	震源
seismic origin	震源
seismic source	震源
seismic surface wave	地震面波
seismic wave	地震波
seismic zone	地震区
seismicity	地震活动
seismo-astronomy	地震天文
seismogram	震波图
seismograph	地震仪
seismology	地震学
seismometer	地震计
seismophysics	地震物理
seismoscope	地震示波仪
selection effect	选择效应
selection function	选择函数
selection rule	选择定则
selective absorption	选择吸收
selective absorption coefficient	选择吸收系数
selective effect	选择效应
selective emission	选择发射
selective emission coefficient	选择发射系数
selective light pressure	选择光压
selective radiation	选择辐射
selective radiation process	选择辐射过程
selective scattering	选择散射
selective scattering coefficient	选择散射系数
selectivity	选择性
selenium	缩写：Se。硒
selenium cell	硒光电池
selenium photometer	硒光度计
selenocentric coordinate	月心坐标
selenodesy	月面测量
selenofault	月面断层
selenogony	月球起源说
selenograph	月面图
selenographic chart	月面图
selenographic coordinate	月面坐标
selenographic latitude	月面纬度
selenographic longitude	月面经度
selenographic map	月面图
selenography	月面学
selenoid	月球卫星
selenologist	月球学家
selenology	月球学
selenomorphology	月面形态学
selenophysical phenomenon	月球物理现象
selenophysics	月球物理
selenothermy	月热学
self-absorbed radiation	自吸收辐射
self-absorbed synchrotron	自吸收同步辐射
self-absorption	自吸收
self-adjoint	自伴
self-calibration method	自定标方法
self-coherent camera	自相干相机
self-consistency	自洽性
self-consistent field	自洽场
self-consistent solution	自洽解
self-containment	自持
self-correction	自校正
self-correlation	自相关
self-energy	自能量
self-field	原场
self-gravitating body	自引力天体
self-gravitation	自引力
self-inductance	自感
self-induction	自感应
self-luminance	自发光
self-luminous body	自发光体
self-luminous train	自发光余迹
self-magnetic field	自磁场
self-noise	原噪声
self-propagating star formation	自传播恒星形成
self-recording micrometer	自记测微计
self-regulation	自调节
self-reproducing universe	自增殖宇宙
self-scanning	自扫描
self-shielding	自屏蔽
self-similar collapse	自相似坍缩
self-similar evolution	自相似演化
self-similar growth	自相似增长
self-similar model	自相似模型
self-similarity	自相似性
self-stimulated emission	自受激发射
self-supporting grating	自持光栅
selsyn	自整角机
semi-amplitude	半变幅; 半振幅
semi-analytical galaxy formation	半解析星系形成
semi-analytical model	半解析模型
semi-annual variation	半年变化
semi-barium star	半钡星
semi-convection	部分对流
semi-detached binary	半接双星
semi-diameter	缩写：SD。半径
semi-diurnal arc	半日弧
semi-diurnal tide	半日潮
semi-duration	半期
semi-forbidden line	半禁线
semi-infinite atmosphere	半无限大气
semi-latus rectum	半通径
semi-lunar period	半月周期
semi-lunar variation	半月变化
semi-major axis	半长轴; 半长径
semi-meridian	半子午线
semi-minor axis	半短轴; 半短径
semi-quadrate	半象限差
semi-regular variable	缩写：SR variable。半规则变星
semi-revolution	半周
semiclassical quantum gravity	半经典量子引力
semiconductor X-ray detector	半导体X射线探测器
semiconductor γ-ray detector	半导体γ射线探测器
semidefinite time	半确定时
semidetached binary	半接双星
sense	指向
sense of revolution	公转方向
sense of rotation	自转方向
sensibility	灵敏度
sensing device	传感器
sensitivity	灵敏度
sensitivity constant	灵敏度常数
sensitivity curve	灵敏度曲线
sensitivity distribution	灵敏度分布
sensitivity equation	灵敏度方程
sensitization	敏化
sensitizer	敏化剂
sensitogram	感光图
sensitometer	感光计
sensitometry	感光测量
sensor	传感器
separate-nucleus hypothesis	分离核心假说
separated source	分离源
separatrice	分界
septet	1、七重态; 2、七重线
sequence of giants	巨星序
sequence of stellar spectra	恒星光谱序
sequence of sub-dwarfs	亚矮星序
sequence of sub-giants	亚巨星序
sequence of supergiants	超巨星序
sequence of white dwarfs	白矮星序
sequential estimation	序贯估计
sequential processing	序贯处理
serendipitous X-ray source	偶遇X射线源
serendipitous γ-ray source	偶遇γ射线源
series limit	系限
series spectrum	线系谱
serpentine	蛇纹石
service module	缩写：SM。服务舱
servo control receiver	伺服接收机
servo-drive	伺服驱动器
servo-system	伺服系统
sesqui-quadrate	一个半象限差
set-up error	安装误差
setting circle	定位度盘
setting limit	落限
setting point	下落点
sexagesimal cycle	六十干支周
sexagesimal system	六十分制
sextant	1、六分仪; 2、纪限仪
sextet	1、六重态; 2、六重线
sextile	六十度角距
sextile aspect	六分方位
sextuple star	六合星
sferics	天电
sfermion	标量费米子
shadow band	影带
shadow band structure	影带结构
shadow belt	影带
shadow cone	影锥
shadow definer	影符; 景符
shadow eclipse	影食
shadow matter	虚影物质
shadow transit	卫影凌行星
shape factor	形状因子
shape function	形状函数
shape relation	形状关系
shaped Cassegrain antenna	整形卡塞格林天线
shaped dual reflector	异形双反射面
shaped reflector	异形反射面
shaped-pupil coronagraph	光瞳整形星冕仪
sharp image	锐像
sharp line	锐谱线
sharp series	锐线系
sharpness	清晰度
shatter cone	碎裂锥岩
shear distortion	剪切畸变
shear field	剪切场
shear instability	剪切不稳定性
shear layer	剪切层
shear stabilization	剪切致稳
shear tensor	剪切张量
