1/f 噪声	1/f noise
白羊流星群	Arietids
白虎	White Tiger
白贝罗环形山	Buys-Ballot crater
白道	moon's path
白道升交点	anabibazon
白露	White Dew
白频率噪声	white frequency noise
白高斯噪声	white Gauss noise
百万年	全称：million years。缩写：Myr
百分度	centigrade scale
百分度制	centigrade system
百叶窗快门	louver shutter
百年变化	centennial variation
百武彗星	Comet Hyakutake
百米波	hectometer wave
皇家天文学会月刊	全称：Monthly Notices of the Royal Astronomical Society。缩写：MNRAS; MN
皇家天文学会论文集	全称：Memoirs of the Royal Astronomical Society。缩写：MmRAS
皇家天文学家	Astronomer Royal
皮亚齐	Piazzia
皮亚齐环形山	Piazzi crater
皮克斯基尔陨星	Peekskill meteorite
皮克林线系	Pickering series
皮克林谱线	Pickering lines
皮克泰环形山	Pictet crater
皮卡尔	Piccard
皮埃尔·俄歇天文台	Pierre Auger Observatory
皮尔凯环形山	Pirquet crater
皮拉特尔环形山	Pilâtre crater
皮科山	Mons Pico
皮科洛米尼环形山	Piccolomini crater
皮秒	picosecond
皮通山	Mons Piton
皮里环形山	Peary crater
皱沟	sulcus
皱纹方形喇叭	ridge square horn
皱脊	wrinkle ridge
盆地	thalassoid
盈凸月	waxing gibbous
盈月	waxing moon; increscent moon
盎鲁辐射	Unruh radiation
监测台网	surveillance network
盒型椭圆星系	boxy elliptical galaxy
盒轨道	box orbit
盔状流	helmet streamer
盖亚天文卫星	Gaia Astrometry Satellite
盖亚环形山	Gaea crater
盖基山脊	Dorsa Geikie
盖天说	Theory of Canopy-Heavens
盖奥特环形山	Guyot crater
盖革-弥勒计数器	Geiger-Muller counter
盖革计数望远镜	Geiger-tube telescope
盘-晕简并性	disk-halo degeneracy
盘-椭球子系模型	disk-spheroid model
盘不稳定性	disk instability
盘冲击	disk shocking
盘势	disk potential
盘右	circle right
盘吸积	disk accretion
盘左	circle left
盘族	disk population; thin-disk population
盘族射电	disk radio emission
盘族恒星	disk star
盘族星	disk population star
盘族星团	disk cluster
盘族球状星团	disk globular cluster
盘星系	disk galaxy
盘标长	disk scale length
盘标高	disk scale height
盘模拟	disk simulation
盘状星系	disk-shaped galaxy
盘状椭圆星系	disky elliptical
盘状结构	disk-like structure
盘鱼星云	Fish on the Platter
目测	eye observation
目端	eye-end
目视估计	eye estimate
目视偏振测量	visual polarimetry
目视偏振计	visual polarimeter
目视光变曲线	visual light curve
目视光度	visual luminosity
目视光度计	visual photometer
目视分光光度测量	visual spectrophotometry
目视分光光度计	visual spectrophotometer
目视分类	visual classification
目视双星	visual binary; visual double star
目视反射望远镜	visual reflector
目视天体	visual object
目视天文学	visual astronomy
目视天顶仪	全称：visual zenith telescope。缩写：VZT
目视总星等	total visual magnitude
目视折射望远镜	visual refractor
目视星	visual star
目视星等	visual magnitude
目视星表	visual catalogue
目视望远镜	visual telescope
目视波段	visual band
目视波段消光	visual extinction
目视流星	visual meteor
目视测光	visual photometry
目视源	visual source
目视灵敏度曲线	visual sensitivity curve
目视灵敏曲线	eye sensitivity curve
目视物镜	visual objective
目视聚星	visual multiple star
目视色度测量	visual colorimetry
目视观测	visual observation
目键法	eye and key method
目镜	eyepiece; ocular
目镜接筒	draw tube
目镜标度	eyepiece scale
目镜测微计	eyepiece micrometer; ocular micrometer
目镜筒	eyepiece slide
目镜网络	eyepiece grid
盱眙	Xuyi
盲巡天	blind survey
盲点	blind spot
盲航法	dead reckoning
直列山脉	Montes Recti
直壁	Rupes Recta
直彗尾	straight tail
直径	diameter
直扇状流	straight fan
直接上升	direct ascent
直方图	histogram
直流补偿	d.c. compensation
直纹曲面图	ruled-surface map
直线喷流	rectilinear jet
直线解	rectilinear solution
直线谱	straight spectrum
直视分光镜	direct vision spectroscope
直视棱镜	direct vision prism
直视物端棱镜	direct vision objective prism
直角坐标	rectangular coordinate
直角棱镜	right angle prism
直角照准仪	cross-staff
相乘干涉仪	multiplying interferometer
相乘干涉测量	multiplying interferometry
相互作用	interaction
相互作用双星	interacting binary
相互作用双重星系	interacting binary
相互作用密近双星	interacting close binary
相互作用常数	interaction constant
相互作用星系	interacting galaxy
相互比较	intercomparison
相互组合	intercombination
相似变换	similarity transformation
相似性	similarity
相似模型	similarity model
相似耀斑	homologous flare
相位不稳定性	phase instability
相位中心	phase center
相位传感器	phasing sensor
相位函数	phase function
相位参考法	phase referencing
相位噪声	phase noise
相位图	phase diagram
相位对比波前传感器	phase contrast wavefront sensor
相位差	phase difference
相位延迟	phase delay
相位开关	phase switching
相位开关干涉仪	phase-switching interferometer
相位开关干涉测量	phase-switching interferometry
相位律	phase law
相位抖动	phase jitter
相位掩模	phase mask
相位掩模星冕仪	phase mask coronagraph
相位效应	phase effect
相位旋转	phase rotation
相位旋转器	phase rotator
相位曲线	phase curve
相位滞后	phase lag
相位相关	phase correlation
相位相机	phasing camera
相位短缺	phase defect
相位碰撞	phase collision
相位积分	phase integral
相位稳定性	phase stability
相位突变	phase jump
相位系数	phase coefficient
相位角	phase angle
相位解调	phase demodulation
相位误差	phase error
相位谱	phase spectrum
相位超前	phase lead
相位跟踪	phase tracking
相位闭合	phase closure
相位预测	phase prediction
相关	correlation; dependence
相关函数	correlation function
相关分析	correlation analysis
相关参数	relevant parameter
相关双采样	correlated double-sampling
相关器	correlator
相关图	correlogram
相关干涉仪	correlation interferometer
相关式视向速度仪	全称：Correlation Radial Velocities spectrometer。缩写：CORAVEL spectrometer
相关探测	correlation detection
相关接收机	correlation receiver
相关系数	coefficient of correlation; correlation coefficient
相关长度	correlation length
相减式双通摄谱仪	subtracting double-pass spectrograph
相加干涉仪	adding interferometer; simple interferometer
相参成像和微角秒天体测量	全称：Phase-Referenced Imaging and Microarcsecond Astrometry。缩写：Prima
相变	phase transformation; phase transition; phase change
相宇	phase space
相对丰度	relative abundance
相对位置	relative position
相对光度因子	relative luminosity factor
相对加速度	relative acceleration
相对势	relative potential
相对口径	relative aperture
相对增益误差	fractional gain error
相对孔径	relative aperture
相对射电发射功率	relative radio emitting power
相对强度	relative intensity
相对性原理	relativity principle
相对数	relative number
相对星表	relative catalogue
相对梯度	relative gradient
相对测光	relative photometry
相对测定	relative determination
相对测量	relative measurement
相对灵敏度	comparative sensitivity
相对焦距	relative focal length
相对稳定度	relative stability
相对能量	relative energy
相对能量分布	relative energy distribution
相对自行	relative proper motion
相对视向速度	relative radial velocity
相对视差	relative parallax
相对论	theory of relativity
相对论力学	relativistic mechanics
相对论场方程	relativistic field equation
相对论天体物理学	relativistic astrophysics
相对论宇宙学	relativistic cosmology
相对论性光线偏折	relativistic deflection of light
相对论性区	relativistic zone
相对论性喷射	relativistic jet
相对论性圆面	relativistic disk
相对论性多普勒位移	relativistic Doppler shift
相对论性多普勒项	relativistic Doppler term
相对论性射束	relativistic beaming
相对论性星	relativistic star
相对论性模糊	relativistic blurring
相对论性气体	relativistic gas
相对论性焓	relativistic enthalpy
相对论性电子	relativistic electron
相对论性移动	relativistic shift
相对论性等离子体	relativistic plasma
相对论性粒子	relativistic particle
相对论性膨胀	relativistic expansion
相对论性膨胀源	relativistically expanding source
相对论性近日点进动	relativistic perihelion advance; relativistic perihelion precession
相对论性近星点进动	relativistic periastron advance; relativistic periastron precession
相对论性速度	relativistic velocity
相对论性韧致辐射	relativistic bremsstrahlung
相对论性麦克斯韦分布	relativistic Maxwell distribution
相对论改正	relativistic correction
相对论效应	relativistic effect
相对论流体动力学	relativistic fluid dynamics
相对论移动	relativity shift
相对论简并性	relativistic degeneracy
相对误差	relative error
相对轨道	relative orbit
相对运动	relative motion; relative movement
相对速度	relative velocity
相对频率	fractional frequency
相对黑子数	relative sunspot number
相屏模型	phase screen model
相干光	coherent light
相干函数	coherence function
相干反射	coherent reflection
相干发射	coherent emission
相干同步加速辐射	coherent synchrotron radiation
相干天体	coherent object
相干宽度	coherence width
相干带宽	coherence bandwidth
相干平均器	coherent averager
相干式接收机	coherent receiver; coherent radiometer
相干性	coherence; coherency
相干散射	coherent scattering
相干时间	coherence time
相干检测器	coherent detector
相干通信系统	coherent communication system
相干长度	coherence length
相平面	phase plane
相应X射线暴	sympathetic X-ray burst
相应γ射线暴	sympathetic γ-ray burst
相应射电暴	sympathetic radio burst
相接双星	contact binary; contact system
相控阵	phased array
相控阵馈源	phased array feed
相敏检波器	phase sensitive detector
相消干涉	destructive interference
相点混合	phase mixing
相移	phase displacement; phase shift
相移器	phase shifter
相移补偿器	phase-shifting compensator
相程	phase path
相空间	phase space
相空间体积	phase-space volume
相空间分布函数	phase-space distribution function
相空间密度	1、phase space density; 2、phase-space density
相速度	phase velocity
相邻数	consecutive number
相邻碰撞轨道	consecutive collision orbit
相长干涉	constructive interference
盾牌δ型星	全称：δ Scuti star。缩写：δ Sct star
盾牌座	全称：Scutum。缩写：Sct
盾牌座恒星云	Scutum Star Cloud
盾状火山	shield volcano
眉月湾	Sinus Lunicus
真亮度	real brightness
真位置	true position; true place
真公转周	true revolution
真动	true motion
真半径	true semidiameter
真吸收	true absorption
真吸收系数	true absorption coefficient
真地平	true horizon
真天平动	true libration
真天极	true pole
真天顶距	true zenith distance
真太阳	true sun; real sun
真太阳日	true solar day
真太阳时	apparent solar time; true solar time
真奔赴点	true vertex
真子午圈	true meridian
真子午线	true meridian
真子夜	true midnight
真实性检验	validity check
真平位置	true mean place
真恒星日	true sidereal day
真恒星时	apparent sidereal time; true sidereal time
真扁率	real flattening
真时	true time
真春分点	true equinox
真椭率	real ellipticity
真正午	true noon
真直径	true diameter
真秤动	true libration
真空	vacuum
真空塔式望远镜	vacuum tower telescope
真空太阳塔	vacuum solar tower
真空太阳望远镜	vacuum solar telescope
真空度	degree of vacuum
真空态	vacuum state
真空摄谱仪	vacuum spectrograph
真空望远镜	vacuum telescope
真空期望值	全称：vacuum expectation value。缩写：VEV
真空波长	vacuum wavelength
真空能量	vacuum energy
真空能量密度	energy density of the vacuum
真纬度	true latitude
真经度	true longitude
真自转周	true rotation
真误差	true error
真赤纬	true declination
真赤经	true right ascension
真赤道	true equator
真距离	true distance
真距离模数	true modulus
真轨道	true orbit
真辐射点	true radiant
真近点角	true anomaly; real anomaly
真连续吸收	true continuous absorption
真选择吸收	true selective absorption
真选择吸收系数	coefficient of true selective absorption
真高度	true altitude
眼点距	eye-point distance
眼角余光法	averted vision
着地	touchdown
着陆器	lander
着陆火箭	landing rocket
瞄准望远镜	sighting telescope
瞬即消失波	evanescent wave
瞬子	instanton
瞬时值	instantaneous value
瞬时光谱	instantaneous spectrum
瞬时功率	instantaneous power
瞬时复合	instantaneous recombination
瞬时循环近似	instantaneous recycling approximation
瞬时极	instantaneous pole
瞬时根数	instantaneous elements
瞬时纬度	instantaneous latitude
瞬时经度	instantaneous longitude
瞬时谱	instantaneous spectrum
瞬时赤道	equator of date
瞬时速度	instantaneous velocity
瞬时黄道	ecliptic of date
瞬现余迹	wake
瞬现区	ephemeral region; ephemeral active region
瞬现活动区	ephemeral region; ephemeral active region
瞳面合束器	pupil-plane beam combiner
瞳面干涉仪	pupil-plane interferometer
矢径	radius vector
矢性介子	vector meson
矢点图	vector-point-diagram
矢积	vector product
矢量分光磁像仪	vector spectromagnetograph
矢量势	vector potential
矢量场	vector field
矢量天体测量学	vectorial astrometry
矢量平移	vector translation
矢量扰动	vector perturbation
矢量模	vector mode
矢量玻色子	vector boson
矢量空间	vector space
矢量轨道常数	vectorial orbital constant
矢面	sagittal plane
知海	Mare Cognitum
矩尺座	全称：Norma。缩写：Nor
矩尺臂	Norma arm
矩形喇叭	rectangular horn
矩形天线阵	square-shaped array
矩形孔径	rectangular aperture
矩形源	rectangular source
矩方程	moment equation
矩臂	moment arm
矩阵求逆	matrix inversion
矩阵表示	matrix representation
矫频	rectification
短周期变星	short-period variable
短周期彗星	short-period comet
短周期摄动	short-period perturbation
短周期造父变星	short-period Cepheid
短周期项	short-period term
短基线干涉仪	全称：short baseline interferometer。缩写：SBI
短基线干涉测量	全称：short baseline interferometry。缩写：SBI
短寿命星	short-lived star
短弧法	short-arc method
短期爆发	short burst; short duration burst
短期积日	short count
短期稳定度	short-term stability
短波支	short wave branch
短波突衰	全称：sudden short-wave fade-out。缩写：SSWF
短波衰退	全称：short-wave fade-out。缩写：SWF
短波辐射	short-wavelength radiation
短程力	short-range force
短程场	short-range field
短缺质量	missing mass
短距离尺度	short distance scale
短轴	1、brachy-axis; 2、minor axis
短轴管形轨道	short-axis tube orbit
矮不规则星系	全称：dwarf irregular galaxy。缩写：dI galaxy
矮丘	collis
矮变星	dwarf variable
矮新星	dwarf nova
矮旋涡星系	dwarf spiral galaxy
矮星	dwarf star
矮星序	dwarf sequence
矮星系	dwarf galaxy
矮椭圆星系	全称：dwarf elliptical galaxy。缩写：dE galaxy
矮椭球星系	全称：dwarf spheroidal galaxy; spheroidal dwarf galaxy。缩写：dSph
矮球状星系	dwarf spherical galaxy
矮行星	dwarf planet
矮造父变星	dwarf Cepheid
石墨	graphite
石墨片	graphite flake
石榴号	Granat
石榴石星	Garnet star
石申环形山	Shi Shen crater
石英伸缩仪	quartz extensometer
石英偏振片单色仪	quartz-polaroid monochromator
石英共振器	quartz crystal resonator
石英摄谱仪	quartz spectrograph
石英晶体	quartz crystal
石英棱镜	quartz prism
石英玻璃	quartz glass
石英钟	quartz clock; quartz crystal clock
石铁陨星	lithosiderite; siderolite; stony-iron meteorite
石陨星	asiderite; aerolith; stony meteorite; aerolite
石陨石	asiderite; aerolith; stony meteorite; aerolite
矿床	mineral deposit
码盘	coded disk
砖墙方法	brick-wall method
砷	全称：arsenic。缩写：As
砹	全称：astatine。缩写：At
砾石堆结构	rubble pile structure
硅	全称：silicon。缩写：Si
硅二极管阵	silicon diode array
硅土	silica
硅增强靶	全称：silicon intensifier target; silicon intensifying target。缩写：SIT
硅孔光学系统	全称：silicon pore optics。缩写：SPO
硅掺砷红外面阵	Si:As infrared array
硅掺镓红外面阵	Si:Ga infrared array
硅星	silicon star
硅条探测器	全称：silicon strip detector。缩写：SSD
硅漂移探测器	全称：silicon drift detector。缩写：SDD
硅燃烧	silicon burning
硅质小行星	silicaceous asteroid
硅酸盐	silicate
硅酸硼玻璃	borosilicate glass
硅酸钆闪烁体	GSO scintillator
硒	全称：selenium。缩写：Se
硒光度计	selenium photometer
硒光电池	selenium cell
硒化铅	lead selenide
硫	全称：sulfur/sulphur。缩写：S
硫代异氰酸	isothiocyanic acid
硫代甲醛	thioformaldehyde
硫化氢	hydrogen sulfide
硫化铅	lead sulphide
硫化镉	cadmium sulfide
硫氢化氨	ammonium hydrosulphide
硫酸	sulphuric acid
硬 γ射线	hard γ-rays
硬X射线	hard X-rays
硬X射线源	hard X-ray source
硬X射线调制望远镜	全称：Hard X-ray Modulation Telescope。缩写：HXMT
硬件	hardware
硬冕玻璃	hard crown-glass
硬化率	hardening rate
硬双星	hard binary
确定事件	certain event
确定时	definitive time
确定权	definitive weight
硼	全称：boron。缩写：B
硼硅酸玻璃	pyrex
碎裂	fragmentation
碎裂极限	fragmentation limit
碎裂锥岩	shatter cone
碘	全称：iodine。缩写：I
碘化钠探测器	全称：sodium-iodide detector。缩写：NaI detector
碘化铯	cesium iodide
碘吸收池	iodine absorption cell
碟形天线	dish antenna
碟形环形山	saucer crater
碰撞假说	collision hypothesis; impact hypothesis
碰撞力度	impact strength
碰撞参数	impact parameter; collision parameter
碰撞后并合天体	post-collision merger
碰撞寿命	collision lifetime
碰撞射电源	collisional radio source
碰撞带	impact zone
碰撞强度	collision strength
碰撞感生不稳定性	collision induced instability
碰撞感生谱	collision induced spectrum
碰撞感生跃迁	collision induced transition
碰撞截面	collision cross-section
碰撞抛射假说	collision ejection hypothesis
碰撞损失	collision loss
碰撞时间	collision time
碰撞星系	colliding galaxy
碰撞概率	collision probability
碰撞湍流	collisional turbulence
碰撞激发	collisional excitation; impact excitation
碰撞激波	collisional shock wave
碰撞电离	collisional ionization; collision ionization; impact ionization; ionization by collision
碰撞等离子体	collisional plasma
碰撞致宽	collisional broadening; impact broadening; collision broadening
碰撞致窄	collision narrowing
碰撞致荧	impact fluorescence
碰撞致闪	impact lightflash
碰撞轨道	collision orbit
碰撞辐射	collision radiation
碰撞过程	collision process
碰撞速率	collision rate
碰撞阻尼	collisional damping
碰撞韧致辐射	collisional bremsstrahlung
碰撞项	collision term
碰撞频率	collision frequency
碲	全称：tellurium。缩写：Te
碲化铅	lead telluride
碲化镉面阵	CdTe detector array
碲锌镉面阵	全称：CdZnTe detector array。缩写：CZT array
碲镉汞红外面阵	HgCdTe infrared array
碳	全称：carbon。缩写：C
碳-碳键	carbon-carbon bond
碳云	carbon cloud
碳分支	carbon branch
碳化硅镜	SiC mirror
碳序	carbon sequence
碳循环	carbon cycle
碳星	全称：carbon star。缩写：C star
碳暴燃模型	carbon-deflagration model
碳氢反常	CH anomaly
碳氢星	CH star
碳氧白矮星	C-O white dwarf
碳氮反常	CN anomaly
碳氮循环	全称：carbon-nitrogen cycle。缩写：CN cycle
碳氮指数	CN index
碳氮氧三循环	CNO tri-cycle
碳氮氧双循环	CNO bi-cycle
碳氮氧反常	CNO anomaly
碳氮氧循环	全称：carbon-nitrogen-oxygen cycle。缩写：CNO cycle
碳燃烧	carbon burning
碳爆轰	carbon detonation
碳矮星	carbon dwarf star; dwarf carbon star
碳粒陨星	carbonaceous chondrite
碳纤维复合材料镜	全称：carbon fiber reinforced polymer mirror。缩写：CFRP mirror
碳谱线	carbon line
碳质小行星	carbonaceous asteroid
碳闪	carbon flash
磁不稳定性	magnetic instability
磁丘	magnetic hill
磁中性线	magnetic neutral line
磁云	magnetic cloud
磁倾斜	magnetic obliquity
磁倾角	magnetic inclination; magnetic dip
磁倾计	inclinometer
磁偏仪	declination compass; declinometer
磁偏角	1、angle of declination; 2、angle of deviation; 3、magnetic declination
磁偶极子	magnetic dipole
磁偶极矩	magnetic dipole moment
磁偶极跃迁	magnetic dipole transition
磁偶极辐射	magnetic dipole radiation
磁像仪	magnetograph
磁元	magnetic element
磁光学	magneto-optics
磁光效应	magneto-optical effect
磁光滤光器	全称：magneto-optical filter。缩写：MOF
磁凹陷	magnetic inclination; magnetic dip
磁分类	magnetic classification
磁刚性	magnetic rigidity
磁剪切	magnetic shear
磁力	magnetic force
磁力线	magnetic line
磁力线扩散	diffusion of magnetic field line
磁力线湮灭	field line annihilation
磁力线重联	field line reconnection
磁动力	magnetic motive force
磁动力学	magnetodynamics
磁势	magnetic potential
磁化等离子体	magnetized plasma
磁化能	energy of magnetization
磁北	magnetic north
磁区	magnetic region
磁单极	magnetic monopole
磁单极辐射	magnetic monopole radiation
磁卯酉圈	magnetic prime vertical
磁压	magnetic pressure
磁压缩	magnetic compression
磁双星	magnetic binary
磁反向线	magnetic inversion line
磁发电机	magnetic dynamo
磁变周期	magnetic period
磁变星	magnetic variable
磁变曲线	magnetic curve
磁变计	magnetic variometer
磁吞并	magnetic coalescence
磁周	magnetic cycle
磁四极	magnetic quadrupole
磁四极辐射	magnetic quadrupole radiation
磁回旋辐射	gyromagnetic radiation
磁图	magnetogram; magnetic chart
磁场	magnetic field
磁场分类	magnetic classification
磁场强度	magnetic intensity
磁场梯度	magnetic gradient
磁场科学卫星	全称：Magnetic Field Satellite。缩写：Magsat
磁场风	magnetic field wind
磁坍缩	magnetic collapse
磁块	magnetic patch
磁声模式	magnetosonic mode
磁声波	magnetoacoustic wave; magnetosonic wave; magneto-sound wave
磁声湍流	magneto-sound turbulence
磁声重力	magnetoacoustic gravity
磁声重力波	magnetoacoustic gravity wave
磁壳	magnetic shell
磁多极	magnetic multipole
磁多极辐射	magnetic multipole radiation
磁子	magneton
磁子午线	magnetic meridian
磁宏观湍流	magnetic macroturbulence
磁密度	magnetic density
磁对流	magneto-convection
磁对消	magnetic cancellation
磁导	permeance
磁导率	1、magnetic conductivity; 2、magnetic permeability; permeability
磁小球体	magnetic spherule
磁尾	magnetotail; magnetospheric tail
磁层	magnetosphere
磁层亚暴	magnetospheric substorm
磁层吸积	magnetospheric accretion
磁层暴	magnetospheric storm
磁层模型	magnetospheric model
磁层永坍缩体	全称：magnetospheric eternally collapsing object。缩写：MECO
磁层间断	magnetospheric discontinuity
磁层顶	magnetopause
磁屏蔽	magnetic shield
磁带	magnetic tape
磁带机	magnetic tape unit
磁带记录器	tape recorder
磁并合	magnetic merging
磁异常	magnetic anomaly
磁弧	magnetic arc
磁强	magnetic strength
磁强计	magnetometer
磁微观湍流	magnetic microturbulence
磁感应	magnetic induction
磁扩散	magnetic diffusion
磁扩散率	magnetic diffusivity
磁扭绞	magnetic twist
磁扰	magnetic disturbance
磁拓扑界线	magnetic separator
磁拓扑界面	magnetic separatrix
磁拱	magnetic arcade
磁指数	magnetic index
磁振子	magnon
磁振荡	magnetic oscillation
磁方位角	magnetic azimuth
磁旋体	magnetoid; spinar
磁无序	magnetic disorder
磁星	magnetic star
磁暗条	magnetic filament
磁暴	1、geomagnetic storm; 2、magnetic storm
磁极	magnetic pole
磁极化	magnetic polarization
磁极性	magnetic polarity
磁极效应	polar effect
磁波	magnetic wave
磁洞	magnetic puka
磁活动体	magnetic active feature
磁活动性	magnetic activity
磁活动等离子体	magnetoactive plasma
磁流	magnetic flux; magnetic stream
磁流[体动]力学	全称：magnetohydrodynamics。缩写：MHD
磁流[体动]力学不稳定性	magnetohydrodynamic instability
磁流[体动]力学湍流	magnetohydrodynamic turbulence
磁流[体动]力学近似	magnetohydrodynamic approximation
磁流[体动力]波	magnetohydrodynamic wave
磁流[体动力]激波	magnetohydrodynamic shock-wave
磁流不稳定性	hydromagnetic instability
磁流体	magnetofluid
磁流体压缩	magnetohydrodynamic compression
磁流体波	hydromagnetic wave
磁流体激波	hydromagnetic shock-wave
磁流力学	hydromagnetics
磁流发电机	hydromagnetic dynamo; hydromagnetodynamo
磁流发电机机制	hydromagnetic dynamo mechanism; hydromagnetodynamo mechanism
磁流守恒	magnetic flux conservation
磁流密度	magnetic flux density
磁流泡	hydromagnetic bubble
磁流环	magnetic flux loop
磁流穴	hydromagnetic cavity
磁流管	magnetic flux tube
磁流管动力学	flux-tube dynamics
磁流绳	magnetic flux rope
磁流计	fluxmeter
磁流量子	flux quantum
磁流量子化	flux quantization
磁浮力	magnetic buoyancy
磁湮灭	magnetic annihilation
磁漏	magnetic leakage
磁激变双星	magnetic cataclysmic binary
磁激变变星	magnetic cataclysmic variable
磁点	magnetic dot
磁特性	magnetic property
磁环	1、magnetic flux loop; 2、magnetic loop; magnetic arcade
磁瓶	magnetic bottle
磁相互作用	magnetic interaction
磁相位	magnetic phase
磁矩	magnetic moment
磁离子理论	magneto-ionic theory
磁穴	magnetic cavity
磁等离子体	magnetic plasma
磁等离子体位形	magnetic plasma configuration
磁等离子体动力学	magnetoplasma dynamics
磁累积	magnetic cumulation
磁约束	magnetic confinement
磁结	magnetic knot
磁绳	1、magnetic flux rope; 2、magnetic rope
磁耀斑	magnetic flare
磁耦合	magnetic coupling
磁联结	magnetic connection
磁胞	magnetic cell
磁能	magnetic energy
磁臂	magnetic arm
磁致冷	magnetic cooling
磁致应力	magnetic stress
磁致湍流	magnetic turbulence; magneto-turbulence
磁致激波	magnetically driven shock-wave
磁致聚焦	magnetic focusing
磁舌	magnetic tongue
磁蓬	magnetic canopy
磁螺度	magnetic helicity
磁螺线	magnetic spiral
磁谱仪	magnetic spectrometer
磁赤道	magnetic equator
磁轫致辐射	magneto-bremstrahlung radiation
磁转动不稳定性	全称：magnetorotational instability。缩写：MRI
磁轴	magnetic axis
磁通量量子	quantum of flux
磁重力	magnetogravity
磁重力波	magnetogravity wave
磁重联	magnetic reconnection
磁钩	magnetic crochet; crochet
磁镜	magnetic mirror
磁阱	magnetic trap
磁阻	reluctance
磁阻尼	magnetic braking
磁阻尼辐射	magneto-bremstrahlung radiation
磁阻率	reluctivity
磁雷诺数	magnetic Reynolds number
磁鞘	magnetic sheath; magneto-sheath
磁韧致辐射	magnetic bremsstrahlung; magnetobrems; magnetobremsstrahlung
磁马赫数	magnetic Mach number
磁黏性	magnetic viscosity
磷	全称：phosphorus。缩写：P
磷光	phosphorescence
磷光闪烁	phosphorescent scintillation
磷钙钠石	merrillite
礁湖星云	Lagoon Nebula
示意图	schematic diagram
示波仪	oscillograph
示波器	oscilloscope
示潮器	tidal indicator
示臂天体	spiral arm tracer
示距参数	distance indicator
示距天体	distance indicator
示踪元素	trace element
礼炮号	Salyut
祖冲之	Zu Chong-zhi
祖冲之环形山	Zu Chong-zhi crater
祖基环形山	Zucchius crater
祖皮溪	Rimae Zupus
祖翼鸟	Archeops
祝融区	vulcanoid zone
祝融型小行星	vulcanoid; Vulcan-like asteroid
祝融星	Vulcan
神冈引力波探测器	全称：Kamioka Gravitational wave detector。缩写：KAGRA
神舟	Shenzhou
祥神星	Felicitas
祭神星	Iphigenia
祸神星	Pandora
禁戒跃迁	forbidden transition
禁线	forbidden line
福克-普朗克方程	Fokker-Planck equation
福克-普朗克近似	Fokker-Planck approximation
福勒环形山	Fowler crater
福勒采样	Fowler sampling
福后星	Phocaea
福后星群	Phocaea group
福州格致	Fuzhougezhi
福布希型下降	Forbush decrease
福布希效应	Forbush effect
福建	Fujian
福文高	Domingos Ferreira
福格特-罗素定理	Vogt-Russell theorem
福格特效应	Voigt effect
福格特谱线轮廓	Voigt line profile
福格特轮廓	Voigt profile
福鲁斯	Pholus
离合测量	on-off measurement
离婆底坑	Revati Crater
离子	ion
离子[陷]阱	ion trap
离子回旋共振	ion-cyclotron resonance
离子回旋截止	ion-cyclotron cut-off
离子回旋波	ion-cyclotron wave
离子回旋频率	ion-gyro-frequency
离子声孤波	ion-sound solitary wave
离子声波	ion-acoustic wave; ion-sound wave
离子声流	ion-acoustic current
离子声湍动	ion-sound turbulence
离子声速	ion-acoustic velocity; iono-acoustic velocity; ion-sound speed
离子密度	ion density
离子彗尾	plasma tail; ion tail
离子成分	ion composition
离子斑	ion spot
离子波	1、ion wave; 2、ion-acoustic wave; ion-sound wave
离子温度	ion temperature
离子火箭	ion rocket
离子等离子体振荡	ion plasma oscillation
离子等离子体波	ion plasma wave
离子等离子体频率	ion plasma frequency
离宫二	Sadalbari
离宫五	Salm
离宫四	Matar
离心力	centrifugal force
离心力驱星风	全称：centrifugally driven wind。缩写：CDW
离心加速度	centrifugal acceleration
离心干涉图谱	off-center interferogram
离心干涉测量	off-center interferometry
离散傅里叶卷积	全称：discrete Fourier convolution。缩写：DFC
离散傅里叶变换	全称：discrete Fourier transform。缩写：DFT
离散时空	discrete space-time
离焦	defocussing
离焦像	off-focus image
离焦反射镜	defocused reflector
离焦成像	off-focus imaging
离焦探测	off-focus detection
离焦观测	off-focus observation
离解	dissociation
离解复合	dissociation recombination; dissociative recombination
离解平衡	dissociation equilibrium
离解温度	dissociation temperature
离解电势	dissociation potential
离解能	dissociation energy
离解过程	dissociation process; dissociative process
离轴分布	off-axis distribution
离轴卡塞格林望远镜	off-axis Cassegrain telescope
离轴导星镜	off-axis guider
离轴格里高利望远镜	off-axis Gregorian telescope
禽神星	Nemausa
秀丽湖	Lacus Excellentiae
秋分	Autumnal Equinox
秋分日	day of autumnal equinox
秋分点	autumnal equinox; autumnal point; first point of Libra
秋湖	Lacus Autumni
种子场模型	seed-field model
科代卡纳天体物理台	Kodaikanal Astrophysical Observatory
科姆帕尼茨方程	Kompaneets equation
科姆里环形山	Comrie crater
科威尔方法	Cowell method
科学式时号	rhythmic time signal
科学技术卫星	全称：Science and Technology SATellite。缩写：STSAT
科尔多瓦分区星表	全称：Cordoba Zone Catalogue。缩写：CZ
科尔多瓦巡天星表	全称：Cordoba Durchmusterung。缩写：CD; CoD
科尔曼-温伯格势	Coleman-Weinberg potential
科尔莫戈罗夫-斯米尔诺夫检验	全称：Kolmogorov-Smirnov test。缩写：K-S test
